"userId","num.actions","action_bucket","num.movies","num.tv","perc.movies","name.length","num.liked","num.comments","num.dislikes","perc.liked","recently.active","days.inactive","liked","num.dislikes","num.comments","disliked","commented"
"bluRoxxy27",4,"med",2,2,0.5,10,4,0,0,1,"2009-11-08 23:59:57",1292,1,0,0,0,0
"imrehg",3,"med",3,0,1,6,3,0,0,1,"2009-11-09 04:18:30",1291,1,0,0,0,0
"aynurozlem",1,"low",1,0,1,10,1,0,0,1,"2009-11-09 07:06:01",1291,1,0,0,0,0
"slavena",10,"med",10,0,1,7,10,0,0,1,"2009-11-09 12:08:47",1291,1,0,0,0,0
"medo_ahlawy",10,"med",10,0,1,11,10,0,0,1,"2009-11-09 21:36:11",1291,1,0,0,0,0
"alaverdy",6,"med",5,1,0.833333333333333,8,6,0,0,1,"2009-11-21 16:11:38",1279,1,0,0,0,0
"zulchem",2,"med",2,0,1,7,2,0,0,1,"2009-11-10 08:35:32",1290,1,0,0,0,0
"urbangrl2007",10,"med",10,0,1,12,10,0,0,1,"2009-11-10 21:41:43",1290,1,0,0,0,0
"lcjonas",10,"med",10,0,1,7,10,0,0,1,"2009-11-11 01:54:38",1289,1,0,0,0,0
"jakimovska",2,"med",2,0,1,10,2,0,0,1,"2009-11-13 22:20:14",1287,1,0,0,0,0
"ramira",2,"med",2,0,1,6,2,0,0,1,"2009-11-11 14:28:17",1289,1,0,0,0,0
"howejoyous",10,"med",10,0,1,10,10,0,0,1,"2009-11-11 14:38:41",1289,1,0,0,0,0
"marcoss",1,"low",0,1,0,7,1,0,0,1,"2009-11-11 17:57:42",1289,1,0,0,0,0
"DelayedReality",428,"power",317,111,0.740654205607477,14,357,0,71,0.83411214953271,"2009-11-27 22:33:56",1273,1,71,0,1,0
"zoddra",10,"med",10,0,1,6,10,0,0,1,"2009-11-11 22:12:27",1289,1,0,0,0,0
"cezarm",1,"low",1,0,1,6,1,0,0,1,"2009-11-12 05:08:43",1288,1,0,0,0,0
"samm",10,"med",10,0,1,4,10,0,0,1,"2009-11-12 15:23:42",1288,1,0,0,0,0
"kupping",3,"med",2,1,0.666666666666667,7,3,0,0,1,"2009-11-12 22:49:41",1288,1,0,0,0,0
"tredoom",10,"med",10,0,1,7,10,0,0,1,"2009-11-13 15:40:36",1287,1,0,0,0,0
"wielly",1,"low",1,0,1,6,1,0,0,1,"2009-11-14 02:40:05",1286,1,0,0,0,0
"peteravalos",10,"med",10,0,1,11,10,0,0,1,"2009-11-14 04:33:12",1286,1,0,0,0,0
"erfan4",5,"med",5,0,1,6,5,0,0,1,"2009-11-14 18:40:16",1286,1,0,0,0,0
"novaspa",24,"power",24,0,1,7,22,0,2,0.916666666666667,"2009-11-14 19:37:49",1286,1,2,0,1,0
"lengolda",10,"med",10,0,1,8,10,0,0,1,"2009-11-14 21:04:36",1286,1,0,0,0,0
"ilkka",1,"low",0,1,0,5,1,0,0,1,"2009-11-16 01:03:04",1284,1,0,0,0,0
"smnbss",3,"med",3,0,1,6,3,0,0,1,"2009-11-16 09:49:11",1284,1,0,0,0,0
"tkelley",1,"low",1,0,1,7,1,0,0,1,"2009-11-16 15:14:15",1284,1,0,0,0,0
"grrenkarma",22,"power",22,0,1,10,22,0,0,1,"2009-11-16 19:47:47",1284,1,0,0,0,0
"rony_octa",1,"low",1,0,1,9,1,0,0,1,"2009-11-17 10:07:31",1283,1,0,0,0,0
"shoppingdiva",2,"med",2,0,1,12,2,0,0,1,"2009-11-17 15:38:49",1283,1,0,0,0,0
"edwinvdg",12,"med",7,5,0.583333333333333,8,12,0,0,1,"2009-11-18 11:35:29",1282,1,0,0,0,0
"durden204",12,"med",12,0,1,9,12,0,0,1,"2009-11-17 20:57:42",1283,1,0,0,0,0
"dula",2,"med",2,0,1,4,2,0,0,1,"2009-11-17 21:46:43",1283,1,0,0,0,0
"lastofthechivalrous",2,"med",0,2,0,19,2,0,0,1,"2009-11-18 05:20:53",1282,1,0,0,0,0
"bcharles",1,"low",1,0,1,8,1,0,0,1,"2009-11-18 06:55:47",1282,1,0,0,0,0
"abhimanyu7777",1,"low",1,0,1,13,1,0,0,1,"2009-11-18 11:23:08",1282,1,0,0,0,0
"miguelmarcos",6,"med",6,0,1,12,6,0,0,1,"2009-11-18 14:09:01",1282,1,0,0,0,0
"scoutboy121",15,"med",15,0,1,11,15,0,0,1,"2009-11-18 18:43:07",1282,1,0,0,0,0
"ravivora",28,"power",28,0,1,8,25,0,3,0.892857142857143,"2009-11-18 18:52:09",1282,1,3,0,1,0
"bratista",6,"med",3,3,0.5,8,5,0,1,0.833333333333333,"2009-12-02 06:37:29",1268,1,1,0,1,0
"Banna",4,"med",4,0,1,5,4,0,0,1,"2009-11-18 21:48:07",1282,1,0,0,0,0
"whitezero7",49,"power",49,0,1,10,30,0,19,0.612244897959184,"2009-11-19 23:38:17",1281,1,19,0,1,0
"buckeyegirl31",8,"med",3,5,0.375,13,7,0,1,0.875,"2009-11-19 04:44:18",1281,1,1,0,1,0
